dayofweek,bookinghour,item_status,Location,TotalBookings
Tuesday,7,CANCELLED_BY_PASSENGER,3.1457006101.7621362,2
Tuesday,9,CANCELLED_BY_DRIVER,3.0802714101.6097862,1
Tuesday,17,NO_TAKER,3.0652018101.609882,1
Tuesday,16,NO_TAKER,2.9242417101.6371873,1
Tuesday,8,CANCELLED_BY_PASSENGER,3.041702101.5904659,1
Tuesday,16,NO_TAKER,3.1093524101.5876318,1
Tuesday,8,NO_TAKER,2.9257158101.6439649,1
Tuesday,22,CANCELLED_BY_PASSENGER,3.0690775101.6040851,1
Tuesday,19,NO_TAKER,3.02148604974352101.709125592384,2
Tuesday,11,CANCELLED_BY_PASSENGER,3.1343425101.7652892,1
Tuesday,18,CANCELLED_BY_PASSENGER,2.9242101.6342697,2
Tuesday,8,CANCELLED_BY_DRIVER,2.94971935475917101.657126910728,1
Tuesday,8,NO_TAKER,2.9492991101.6657259,1
Tuesday,16,NO_TAKER,3.1922218101.6266029,1
Tuesday,18,NO_TAKER,2.95036101.65692,2
Tuesday,15,CANCELLED_BY_PASSENGER,3.0646493101.6164465,1
Tuesday,18,CANCELLED_BY_PASSENGER,3.0162173101.6152417,1
Tuesday,22,CANCELLED_BY_PASSENGER,2.9178097101.6285506,1
Tuesday,7,CANCELLED_BY_PASSENGER,3.0524024101.599496,2
Saturday,1,NO_TAKER,3.0582667101.60338,1
Saturday,23,CANCELLED_BY_PASSENGER,3.0783299101.5885145,1
Saturday,7,CANCELLED_BY_PASSENGER,3.1618552101.747853,1
Saturday,0,NO_TAKER,2.8255225101.7131182,2
Saturday,7,CANCELLED_BY_PASSENGER,3.1512725101.773651,1
Saturday,0,NO_TAKER,3.04796930976786101.620735092575,2
Saturday,23,CANCELLED_BY_PASSENGER,3.0779396101.5864466,3
Saturday,13,CANCELLED_BY_PASSENGER,3.13321101.5528,1
Saturday,11,CANCELLED_BY_PASSENGER,3.0045432101.537678,1
Saturday,0,NO_TAKER,2.945544101.723796,1
Saturday,12,CANCELLED_BY_PASSENGER,3.1702669101.7505974,1
Saturday,17,NO_DRIVER_AVAILABLE,3.1333608451985779101.55375788193216,2
Saturday,19,CANCELLED_BY_PASSENGER,2.9695833053795315101.7114763483564,10
Saturday,17,CANCELLED_BY_PASSENGER,3.2989882101.6196976,1
Saturday,13,CANCELLED_BY_PASSENGER,3.2736385101.5509532,1
Saturday,20,CANCELLED_BY_PASSENGER,3.0641276101.6111256,1
Saturday,20,CANCELLED_BY_PASSENGER,2.754801758290859101.70367994742064,8
Saturday,20,CANCELLED_BY_PASSENGER,2.7445151360287339101.68470903911668,69
Saturday,7,CANCELLED_BY_PASSENGER,3.0744152101.5902974,1
Saturday,13,NO_TAKER,2.9263859101.6359856,6
Saturday,22,CANCELLED_BY_PASSENGER,2.9196657101.6363814,6
Saturday,22,CANCELLED_BY_PASSENGER,2.94971935475917101.657126910728,32
Saturday,8,CANCELLED_BY_PASSENGER,3.1396113101.7585626,1
Saturday,9,NO_TAKER,3.1189154101.5870236,1
Saturday,2,NO_TAKER,3.11228699389338101.591176308185,1
Saturday,9,NO_TAKER,2.922344101.6340928,1
Saturday,23,NO_TAKER,3.048561466670026101.77475766723906,1
Saturday,19,CANCELLED_BY_PASSENGER,2.7445151360287339101.68470903911668,32
Saturday,9,CANCELLED_BY_PASSENGER,3.1601192101.7516737,1
Saturday,22,CANCELLED_BY_PASSENGER,3.20656953297129101.580434139847,1
Wednesday,20,CANCELLED_BY_PASSENGER,3.0734121429733809101.60597741603851,6
Wednesday,15,CANCELLED_BY_PASSENGER,2.9335095101.6303389,1
Wednesday,20,NO_TAKER,3.1566892101.7528563,1
Wednesday,19,CANCELLED_BY_PASSENGER,3.12947036720087101.738946460696,1
Wednesday,9,CANCELLED_BY_PASSENGER,3.31976192324924101.574986705207,1
Wednesday,8,NO_TAKER,3.0765930102888031101.58632128049508,2
Wednesday,18,CANCELLED_BY_PASSENGER,2.9980718632205869101.7374331105683,1
Wednesday,14,NO_TAKER,3.064541833101.6163334,1
Wednesday,8,CANCELLED_BY_PASSENGER,2.9225511101.6381724,3
Wednesday,9,CANCELLED_BY_PASSENGER,3.1107796101.5862266,2
Wednesday,20,NO_TAKER,2.94971935475917101.657126910728,7
Wednesday,10,CANCELLED_BY_PASSENGER,3.0814991101.6255089,2
Wednesday,6,CANCELLED_BY_PASSENGER,2.981729101.6027162,3
Wednesday,17,CANCELLED_BY_PASSENGER,3.0391059101.6340783,1
Wednesday,18,NO_TAKER,3.0084178101.6130365,1
Wednesday,9,CANCELLED_BY_PASSENGER,3.1111809101.5825366,1
Wednesday,12,NO_TAKER,3.064541833101.6163334,1
